# Wavelength Field  x y rms
1.6670 4.0000 9.0501 -60.8858 0.0119
1.6670 5.0000 18.1073 -60.9018 0.0136
1.6680 1.0000 -18.1099 -61.6479 0.0139
1.6680 2.0000 -9.0514 -61.6314 0.0122
1.6680 3.0000 -0.0000 -61.6261 0.0116
1.6680 4.0000 9.0514 -61.6314 0.0122
1.6680 5.0000 18.1099 -61.6479 0.0139
1.6690 1.0000 -18.1126 -62.3969 0.0000
1.6690 2.0000 -9.0527 -62.3799 0.0125
1.6690 3.0000 -0.0000 -62.3743 0.0119
1.6690 4.0000 9.0527 -62.3799 0.0125
1.6690 5.0000 18.1126 -62.3969 0.0000
1.6700 1.0000 -18.1153 -63.1487 0.0000
1.6700 2.0000 -9.0541 -63.1312 0.0128
1.6700 3.0000 -0.0000 -63.1255 0.0122
1.6700 4.0000 9.0541 -63.1312 0.0128
1.6700 5.0000 18.1153 -63.1487 0.0000
1.6710 1.0000 0.0000 0.0000 0.0000
1.6710 2.0000 0.0000 0.0000 0.0000
1.6710 3.0000 0.0000 0.0000 0.0000
1.6710 4.0000 0.0000 0.0000 0.0000
1.6710 5.0000 0.0000 0.0000 0.0000
1.6720 1.0000 0.0000 0.0000 0.0000
1.6720 2.0000 0.0000 0.0000 0.0000
1.6720 3.0000 0.0000 0.0000 0.0000
1.6720 4.0000 0.0000 0.0000 0.0000
1.6720 5.0000 0.0000 0.0000 0.0000
1.6730 1.0000 0.0000 0.0000 0.0000
1.6730 2.0000 0.0000 0.0000 0.0000
1.6730 3.0000 0.0000 0.0000 0.0000
1.6730 4.0000 0.0000 0.0000 0.0000
1.6730 5.0000 0.0000 0.0000 0.0000
1.6740 1.0000 0.0000 0.0000 0.0000
1.6740 2.0000 0.0000 0.0000 0.0000
1.6740 3.0000 0.0000 0.0000 0.0000
1.6740 4.0000 0.0000 0.0000 0.0000
1.6740 5.0000 0.0000 0.0000 0.0000
1.6750 1.0000 0.0000 0.0000 0.0000
1.6750 2.0000 0.0000 0.0000 0.0000
1.6750 3.0000 0.0000 0.0000 0.0000
1.6750 4.0000 0.0000 0.0000 0.0000
1.6750 5.0000 0.0000 0.0000 0.0000
1.6760 1.0000 0.0000 0.0000 0.0000
1.6760 2.0000 0.0000 0.0000 0.0000
1.6760 3.0000 0.0000 0.0000 0.0000
1.6760 4.0000 0.0000 0.0000 0.0000
1.6760 5.0000 0.0000 0.0000 0.0000
1.6770 1.0000 0.0000 0.0000 0.0000
1.6770 2.0000 0.0000 0.0000 0.0000
1.6770 3.0000 0.0000 0.0000 0.0000
1.6770 4.0000 0.0000 0.0000 0.0000
1.6770 5.0000 0.0000 0.0000 0.0000
1.6780 1.0000 0.0000 0.0000 0.0000
1.6780 2.0000 0.0000 0.0000 0.0000
1.6780 3.0000 0.0000 0.0000 0.0000
1.6780 4.0000 0.0000 0.0000 0.0000
1.6780 5.0000 0.0000 0.0000 0.0000
1.6790 1.0000 0.0000 0.0000 0.0000
1.6790 2.0000 0.0000 0.0000 0.0000
1.6790 3.0000 0.0000 0.0000 0.0000
1.6790 4.0000 0.0000 0.0000 0.0000
1.6790 5.0000 0.0000 0.0000 0.0000
